period_dt,broad_group,Adversary,Intermediary
2017-01-01,Gallium/Germanium,61572809.0,6981210.0
2017-01-01,Graphite,33276140.0,5211593.0
2017-01-01,Polysilicon,6659035.0,866922.0
2017-01-01,Rare Earths,103998037.0,51774898.0
2017-02-01,Gallium/Germanium,49595042.0,4709153.0
2017-02-01,Graphite,23445338.0,2686015.0
2017-02-01,Polysilicon,9617376.0,2702981.0
2017-02-01,Rare Earths,66676319.0,33939780.0
2017-03-01,Gallium/Germanium,74600275.0,6967772.0
2017-03-01,Graphite,30148752.0,5776293.0
2017-03-01,Polysilicon,11598744.0,363437.0
2017-03-01,Rare Earths,115058956.0,54726003.0
2017-04-01,Gallium/Germanium,66551494.0,7226113.0
2017-04-01,Graphite,29553475.0,5556724.0
2017-04-01,Polysilicon,4834705.0,9044.0
2017-04-01,Rare Earths,116041107.0,53221098.0
2017-05-01,Gallium/Germanium,72776578.0,8617120.0
2017-05-01,Graphite,33490079.0,5839164.0
2017-05-01,Polysilicon,4293354.0,433291.0
2017-05-01,Rare Earths,117801670.0,58407997.0
2017-06-01,Gallium/Germanium,85648455.0,9105053.0
2017-06-01,Graphite,32622316.0,6155108.0
2017-06-01,Polysilicon,7276684.0,1865085.0
2017-06-01,Rare Earths,116617111.0,52353304.0
2017-07-01,Gallium/Germanium,84209260.0,8450914.0
2017-07-01,Graphite,33738353.0,6724344.0
2017-07-01,Polysilicon,7301601.0,3099987.0
2017-07-01,Rare Earths,103171120.0,52363624.0
2017-08-01,Gallium/Germanium,78945500.0,7750077.0
2017-08-01,Graphite,37286376.0,5216290.0
2017-08-01,Polysilicon,11040643.0,9459861.0
2017-08-01,Rare Earths,118928044.0,56815747.0
2017-09-01,Gallium/Germanium,86136456.0,6738611.0
2017-09-01,Graphite,33250992.0,5539411.0
2017-09-01,Polysilicon,6202296.0,8969486.0
2017-09-01,Rare Earths,116122016.0,54883791.0
2017-10-01,Gallium/Germanium,100452697.0,7374325.0
2017-10-01,Graphite,38971428.0,5760381.0
2017-10-01,Polysilicon,6754474.0,8696147.0
2017-10-01,Rare Earths,121504210.0,55638808.0
2017-11-01,Gallium/Germanium,120072987.0,10213740.0
2017-11-01,Graphite,40908849.0,8276969.0
2017-11-01,Polysilicon,6245168.0,18437618.0
2017-11-01,Rare Earths,131928298.0,69209647.0
2017-12-01,Gallium/Germanium,101226843.0,7149192.0
2017-12-01,Graphite,41674764.0,6109853.0
2017-12-01,Polysilicon,5039483.0,1467084.0
2017-12-01,Rare Earths,148794774.0,68518005.0
2018-01-01,Gallium/Germanium,104194455.0,8360525.0
2018-01-01,Graphite,51850767.0,7759178.0
2018-01-01,Polysilicon,6530319.0,3052976.0
2018-01-01,Rare Earths,131118433.0,61893662.0
2018-02-01,Gallium/Germanium,112372858.0,7092918.0
2018-02-01,Graphite,36847211.0,6420308.0
2018-02-01,Polysilicon,7827373.0,3648069.0
2018-02-01,Rare Earths,124418475.0,53578666.0
2018-03-01,Gallium/Germanium,145303830.0,9760207.0
2018-03-01,Graphite,46511642.0,7339298.0
2018-03-01,Polysilicon,6930053.0,1074709.0
2018-03-01,Rare Earths,124782060.0,56226175.0
2018-04-01,Gallium/Germanium,139454543.0,11961179.0
2018-04-01,Graphite,37166805.0,9584991.0
2018-04-01,Polysilicon,5614314.0,1728285.0
2018-04-01,Rare Earths,146207823.0,59688067.0
2018-05-01,Gallium/Germanium,168613313.0,9375034.0
2018-05-01,Graphite,48009638.0,9054128.0
2018-05-01,Polysilicon,6359496.0,381734.0
2018-05-01,Rare Earths,158389250.0,67772462.0
2018-06-01,Gallium/Germanium,150419149.0,10067624.0
2018-06-01,Graphite,51588822.0,9989090.0
2018-06-01,Polysilicon,5454731.0,3300069.0
2018-06-01,Rare Earths,152330575.0,62138875.0
2018-07-01,Gallium/Germanium,164774994.0,9270685.0
2018-07-01,Graphite,53580037.0,10199170.0
2018-07-01,Polysilicon,6097828.0,1059581.0
2018-07-01,Rare Earths,139271142.0,61212493.0
2018-08-01,Gallium/Germanium,185852159.0,11665379.0
2018-08-01,Graphite,43591651.0,9921659.0
2018-08-01,Polysilicon,5901715.0,1269032.0
2018-08-01,Rare Earths,141932622.0,73929624.0
2018-09-01,Gallium/Germanium,173370952.0,10268380.0
2018-09-01,Graphite,57969781.0,10475372.0
2018-09-01,Polysilicon,9477669.0,70897.0
2018-09-01,Rare Earths,151420858.0,61316159.0
2018-10-01,Gallium/Germanium,168574047.0,9052923.0
2018-10-01,Graphite,59271685.0,8234832.0
2018-10-01,Polysilicon,7053725.0,423648.0
2018-10-01,Rare Earths,126041136.0,55096933.0
2018-11-01,Gallium/Germanium,198427179.0,11826992.0
2018-11-01,Graphite,54448294.0,8468391.0
2018-11-01,Polysilicon,8740944.0,259255.0
2018-11-01,Rare Earths,139525350.0,54786350.0
2018-12-01,Gallium/Germanium,160725010.0,13975164.0
2018-12-01,Graphite,51295527.0,10347234.0
2018-12-01,Polysilicon,8786882.0,22639.0
2018-12-01,Rare Earths,141169091.0,59823035.0
2019-01-01,Gallium/Germanium,162893346.0,12688051.0
2019-01-01,Graphite,53797982.0,7790476.0
2019-01-01,Polysilicon,8406607.0,180380.0
2019-01-01,Rare Earths,142963629.0,57788020.0
2019-02-01,Gallium/Germanium,125161498.0,7993375.0
2019-02-01,Graphite,46166800.0,7336278.0
2019-02-01,Polysilicon,7334064.0,86201.0
2019-02-01,Rare Earths,89746435.0,40709375.0
2019-03-01,Gallium/Germanium,123641837.0,16971064.0
2019-03-01,Graphite,56517895.0,16725807.0
2019-03-01,Polysilicon,7302304.0,72679.0
2019-03-01,Rare Earths,127306338.0,52220434.0
2019-04-01,Gallium/Germanium,103280829.0,12298087.0
2019-04-01,Graphite,41061731.0,10875025.0
2019-04-01,Polysilicon,5271456.0,323668.0
2019-04-01,Rare Earths,136378499.0,47818490.0
2019-05-01,Gallium/Germanium,128493738.0,10256270.0
2019-05-01,Graphite,49016950.0,15959969.0
2019-05-01,Polysilicon,4745583.0,154876.0
2019-05-01,Rare Earths,133601335.0,56346241.0
2019-06-01,Gallium/Germanium,129717986.0,11928405.0
2019-06-01,Graphite,55306644.0,13716780.0
2019-06-01,Polysilicon,4817958.0,200303.0
2019-06-01,Rare Earths,143298826.0,58657187.0
2019-07-01,Gallium/Germanium,97125196.0,12971731.0
2019-07-01,Graphite,45755077.0,12438538.0
2019-07-01,Polysilicon,5510646.0,159010.0
2019-07-01,Rare Earths,146868655.0,68554791.0
2019-08-01,Gallium/Germanium,138614328.0,10627821.0
2019-08-01,Graphite,45275703.0,25383365.0
2019-08-01,Polysilicon,4268620.0,21522.0
2019-08-01,Rare Earths,133582127.0,55359523.0
2019-09-01,Gallium/Germanium,127572039.0,11549079.0
2019-09-01,Graphite,41632922.0,12631895.0
2019-09-01,Polysilicon,6459916.0,211398.0
2019-09-01,Rare Earths,125930582.0,56488731.0
2019-10-01,Gallium/Germanium,122297621.0,10024325.0
2019-10-01,Graphite,37530344.0,14731720.0
2019-10-01,Polysilicon,4628666.0,47861.0
2019-10-01,Rare Earths,125248301.0,56262171.0
2019-11-01,Gallium/Germanium,126964465.0,9382146.0
2019-11-01,Graphite,40628287.0,21641257.0
2019-11-01,Polysilicon,5221494.0,50244.0
2019-11-01,Rare Earths,128497918.0,53833528.0
2019-12-01,Gallium/Germanium,179772952.0,9075023.0
2019-12-01,Graphite,40792663.0,14989060.0
2019-12-01,Polysilicon,6610126.0,1908954.0
2019-12-01,Rare Earths,142827370.0,59066632.0
2020-01-01,Gallium/Germanium,105560705.0,10339556.0
2020-01-01,Graphite,41930529.0,11050928.0
2020-01-01,Polysilicon,4292562.0,929918.0
2020-01-01,Rare Earths,136842353.0,60903420.0
2020-02-01,Gallium/Germanium,59486965.0,7626254.0
2020-02-01,Graphite,24984712.0,11506949.0
2020-02-01,Polysilicon,3864800.0,81600.0
2020-02-01,Rare Earths,48568259.0,25329726.0
2020-03-01,Gallium/Germanium,239620157.0,12145724.0
2020-03-01,Graphite,57106510.0,16839332.0
2020-03-01,Polysilicon,6717701.0,29403.0
2020-03-01,Rare Earths,140109527.0,62103550.0
2020-04-01,Gallium/Germanium,142197884.0,11594006.0
2020-04-01,Graphite,51970109.0,21156547.0
2020-04-01,Polysilicon,5476936.0,87550.0
2020-04-01,Rare Earths,129243495.0,64243226.0
2020-05-01,Gallium/Germanium,118867030.0,14049883.0
2020-05-01,Graphite,31140425.0,20986483.0
2020-05-01,Polysilicon,4528911.0,170720.0
2020-05-01,Rare Earths,120300877.0,48848904.0
2020-06-01,Gallium/Germanium,102340217.0,9152556.0
2020-06-01,Graphite,35268562.0,14120127.0
2020-06-01,Polysilicon,6163470.0,78837.0
2020-06-01,Rare Earths,113075990.0,54438283.0
2020-07-01,Gallium/Germanium,110943616.0,6081368.0
2020-07-01,Graphite,40130357.0,26997490.0
2020-07-01,Polysilicon,8196234.0,47728.0
2020-07-01,Rare Earths,107674035.0,69346204.0
2020-08-01,Gallium/Germanium,95575831.0,4805747.0
2020-08-01,Graphite,32694412.0,37533344.0
2020-08-01,Polysilicon,5321516.0,95285.0
2020-08-01,Rare Earths,111249732.0,65662753.0
2020-09-01,Gallium/Germanium,130390470.0,7418582.0
2020-09-01,Graphite,40210624.0,33005845.0
2020-09-01,Polysilicon,5789717.0,104153.0
2020-09-01,Rare Earths,108010231.0,74048181.0
2020-10-01,Gallium/Germanium,141435068.0,9000185.0
2020-10-01,Graphite,40854856.0,29727390.0
2020-10-01,Polysilicon,6153429.0,415761.0
2020-10-01,Rare Earths,113857889.0,71843618.0
2020-11-01,Gallium/Germanium,148532213.0,8634288.0
2020-11-01,Graphite,52749464.0,31941548.0
2020-11-01,Polysilicon,8369795.0,109024.0
2020-11-01,Rare Earths,123190470.0,77833461.0
2020-12-01,Gallium/Germanium,175287012.0,12329427.0
2020-12-01,Graphite,47370061.0,48731547.0
2020-12-01,Polysilicon,6364606.0,121878.0
2020-12-01,Rare Earths,156439742.0,83841738.0
2021-01-01,Gallium/Germanium,188746729.0,8401114.0
2021-01-01,Graphite,42673341.0,28921012.0
2021-01-01,Polysilicon,6380858.0,261839.0
2021-01-01,Rare Earths,163044080.0,98702705.0
2021-02-01,Gallium/Germanium,156924361.0,11890291.0
2021-02-01,Graphite,36587883.0,39065917.0
2021-02-01,Polysilicon,9433326.0,174516.0
2021-02-01,Rare Earths,132501066.0,70028847.0
2021-03-01,Gallium/Germanium,224718768.0,14378628.0
2021-03-01,Graphite,44514644.0,42718559.0
2021-03-01,Polysilicon,9312952.0,289239.0
2021-03-01,Rare Earths,153996275.0,91744839.0
2021-04-01,Gallium/Germanium,215454119.0,13991535.0
2021-04-01,Graphite,41789145.0,38550642.0
2021-04-01,Polysilicon,7962595.0,139432.0
2021-04-01,Rare Earths,187690909.0,100801224.0
2021-05-01,Gallium/Germanium,224806027.0,16596923.0
2021-05-01,Graphite,41447335.0,29901609.0
2021-05-01,Polysilicon,8705641.0,63753.0
2021-05-01,Rare Earths,207697781.0,98650209.0
2021-06-01,Gallium/Germanium,229279119.0,15844536.0
2021-06-01,Graphite,46353755.0,65025935.0
2021-06-01,Polysilicon,10609778.0,0.0
2021-06-01,Rare Earths,200311295.0,104470314.0
2021-07-01,Gallium/Germanium,242282754.0,26699147.0
2021-07-01,Graphite,47242089.0,32414202.0
2021-07-01,Polysilicon,10921331.0,8500.0
2021-07-01,Rare Earths,223042643.0,105719897.0
2021-08-01,Gallium/Germanium,235207640.0,19884402.0
2021-08-01,Graphite,55288058.0,34205971.0
2021-08-01,Polysilicon,10664508.0,108168.0
2021-08-01,Rare Earths,220382399.0,110571897.0
2021-09-01,Gallium/Germanium,284387814.0,12535729.0
2021-09-01,Graphite,50146701.0,45846758.0
2021-09-01,Polysilicon,10894522.0,150729.0
2021-09-01,Rare Earths,220986359.0,123496415.0
2021-10-01,Gallium/Germanium,252171491.0,15574841.0
2021-10-01,Graphite,46013742.0,26837630.0
2021-10-01,Polysilicon,14657633.0,458716.0
2021-10-01,Rare Earths,214674515.0,122133862.0
2021-11-01,Gallium/Germanium,252406259.0,15127909.0
2021-11-01,Graphite,61584197.0,29516280.0
2021-11-01,Polysilicon,13898167.0,173441.0
2021-11-01,Rare Earths,225710213.0,113169027.0
2021-12-01,Gallium/Germanium,307189551.0,16268447.0
2021-12-01,Graphite,53231417.0,44166944.0
2021-12-01,Polysilicon,14713421.0,552510.0
2021-12-01,Rare Earths,222567737.0,139378946.0
2022-01-01,Gallium/Germanium,269178680.0,16677201.0
2022-01-01,Graphite,54380427.0,38036811.0
2022-01-01,Polysilicon,14386618.0,353715.0
2022-01-01,Rare Earths,250067018.0,163814586.0
2022-02-01,Gallium/Germanium,199273715.0,13005424.0
2022-02-01,Graphite,42241378.0,48916512.0
2022-02-01,Polysilicon,12092423.0,34022.0
2022-02-01,Rare Earths,224273136.0,92355869.0
2022-03-01,Gallium/Germanium,269563132.0,15266536.0
2022-03-01,Graphite,45644629.0,48980289.0
2022-03-01,Polysilicon,15092467.0,18335.0
2022-03-01,Rare Earths,298263985.0,145851477.0
2022-04-01,Gallium/Germanium,336192398.0,19468605.0
2022-04-01,Graphite,59444488.0,33830165.0
2022-04-01,Polysilicon,13935294.0,120106.0
2022-04-01,Rare Earths,344115984.0,149566901.0
2022-05-01,Gallium/Germanium,334485821.0,17107986.0
2022-05-01,Graphite,72195422.0,36964071.0
2022-05-01,Polysilicon,14028110.0,2159491.0
2022-05-01,Rare Earths,376093632.0,167013080.0
2022-06-01,Gallium/Germanium,365002844.0,20830872.0
2022-06-01,Graphite,76530080.0,47970171.0
2022-06-01,Polysilicon,12842271.0,124270.0
2022-06-01,Rare Earths,329281036.0,156856423.0
2022-07-01,Gallium/Germanium,310515817.0,39853155.0
2022-07-01,Graphite,72166729.0,48616317.0
2022-07-01,Polysilicon,16592440.0,142485.0
2022-07-01,Rare Earths,366376157.0,163898769.0
2022-08-01,Gallium/Germanium,293708540.0,12605506.0
2022-08-01,Graphite,82936839.0,65473952.0
2022-08-01,Polysilicon,12171802.0,1314595.0
2022-08-01,Rare Earths,331344678.0,157730371.0
2022-09-01,Gallium/Germanium,283162418.0,21246416.0
2022-09-01,Graphite,83241942.0,70734676.0
2022-09-01,Polysilicon,13239403.0,3253035.0
2022-09-01,Rare Earths,289350056.0,147621622.0
2022-10-01,Gallium/Germanium,260446534.0,11200810.0
2022-10-01,Graphite,91922128.0,64661123.0
2022-10-01,Polysilicon,13353822.0,17679195.0
2022-10-01,Rare Earths,277826964.0,123217649.0
2022-11-01,Gallium/Germanium,253228229.0,16794689.0
2022-11-01,Graphite,88057985.0,73194190.0
2022-11-01,Polysilicon,7900918.0,406070.0
2022-11-01,Rare Earths,291453957.0,117337171.0
2022-12-01,Gallium/Germanium,379768614.0,47227317.0
2022-12-01,Graphite,78588009.0,69171607.0
2022-12-01,Polysilicon,13120469.0,355141.0
2022-12-01,Rare Earths,255947584.0,117508786.0
2023-01-01,Gallium/Germanium,291446503.0,27174901.0
2023-01-01,Graphite,67760438.0,88574312.0
2023-01-01,Polysilicon,7291333.0,218686.0
2023-01-01,Rare Earths,277987957.0,132704291.0
2023-02-01,Gallium/Germanium,272677004.0,12403581.0
2023-02-01,Graphite,60351687.0,68703930.0
2023-02-01,Polysilicon,8700910.0,4725661.0
2023-02-01,Rare Earths,229903663.0,94221772.0
2023-03-01,Gallium/Germanium,367024347.0,32628251.0
2023-03-01,Graphite,59140888.0,97145002.0
2023-03-01,Polysilicon,7612099.0,35536626.0
2023-03-01,Rare Earths,308551595.0,135544729.0
2023-04-01,Gallium/Germanium,348109153.0,11547186.0
2023-04-01,Graphite,58635895.0,65131729.0
2023-04-01,Polysilicon,9304818.0,6456480.0
2023-04-01,Rare Earths,309575823.0,118717883.0
2023-05-01,Gallium/Germanium,301245455.0,19708676.0
2023-05-01,Graphite,62819755.0,65628921.0
2023-05-01,Polysilicon,8151175.0,13443228.0
2023-05-01,Rare Earths,281538609.0,105829406.0
2023-06-01,Gallium/Germanium,308866221.0,18103439.0
2023-06-01,Graphite,73453946.0,50083155.0
2023-06-01,Polysilicon,5692524.0,51584909.0
2023-06-01,Rare Earths,257800096.0,109659379.0
2023-07-01,Gallium/Germanium,318845418.0,20218736.0
2023-07-01,Graphite,66952024.0,71958398.0
2023-07-01,Polysilicon,4904665.0,18561388.0
2023-07-01,Rare Earths,252658451.0,107863414.0
2023-08-01,Gallium/Germanium,287767895.0,11369611.0
2023-08-01,Graphite,69744609.0,53544177.0
2023-08-01,Polysilicon,5554138.0,1766247.0
2023-08-01,Rare Earths,233437840.0,102125156.0
2023-09-01,Gallium/Germanium,275605998.0,35876078.0
2023-09-01,Graphite,63288236.0,51727572.0
2023-09-01,Polysilicon,5542261.0,3735654.0
2023-09-01,Rare Earths,228288149.0,101910117.0
2023-10-01,Gallium/Germanium,187670081.0,32084600.0
2023-10-01,Graphite,49077624.0,55502745.0
2023-10-01,Polysilicon,3742986.0,6900676.0
2023-10-01,Rare Earths,175787829.0,97108883.0
2023-11-01,Gallium/Germanium,217916144.0,80520513.0
2023-11-01,Graphite,100595516.0,75412372.0
2023-11-01,Polysilicon,3200801.0,18062548.0
2023-11-01,Rare Earths,192420310.0,100226964.0
2023-12-01,Gallium/Germanium,247218585.0,57038105.0
2023-12-01,Graphite,31846581.0,18420643.0
2023-12-01,Polysilicon,5573548.0,16771791.0
2023-12-01,Rare Earths,198417967.0,94438586.0
2024-01-01,Gallium/Germanium,209554984.0,15716119.0
2024-01-01,Graphite,35370040.0,25397137.0
2024-01-01,Polysilicon,8049015.0,10521081.0
2024-01-01,Rare Earths,219681802.0,120149436.0
2024-02-01,Gallium/Germanium,199003774.0,9717393.0
2024-02-01,Graphite,43269931.0,37431194.0
2024-02-01,Polysilicon,3596331.0,23903065.0
2024-02-01,Rare Earths,146985208.0,83031550.0
2024-03-01,Gallium/Germanium,240832222.0,14240427.0
2024-03-01,Graphite,54241036.0,66359641.0
2024-03-01,Polysilicon,6039202.0,23735879.0
2024-03-01,Rare Earths,202111578.0,108370162.0
2024-04-01,Gallium/Germanium,246358436.0,31730768.0
2024-04-01,Graphite,58560876.0,47395205.0
2024-04-01,Polysilicon,9354062.0,42753457.0
2024-04-01,Rare Earths,185020180.0,113798781.0
2024-05-01,Gallium/Germanium,224556353.0,26573726.0
2024-05-01,Graphite,55711154.0,45090176.0
2024-05-01,Polysilicon,11579133.0,48475554.0
2024-05-01,Rare Earths,181816409.0,117362177.0
2024-06-01,Gallium/Germanium,228581397.0,16041344.0
2024-06-01,Graphite,57649479.0,29911829.0
2024-06-01,Polysilicon,9869673.0,55384379.0
2024-06-01,Rare Earths,200413048.0,111658049.0
2024-07-01,Gallium/Germanium,161667510.0,18433190.0
2024-07-01,Graphite,39757714.0,24077336.0
2024-07-01,Polysilicon,6886294.0,73878581.0
2024-07-01,Rare Earths,188674377.0,126753422.0
2024-08-01,Gallium/Germanium,190204586.0,15872469.0
2024-08-01,Graphite,45740714.0,31154778.0
2024-08-01,Polysilicon,9819472.0,50796052.0
2024-08-01,Rare Earths,182404905.0,119930832.0
2024-09-01,Gallium/Germanium,170064557.0,28996629.0
2024-09-01,Graphite,42990032.0,34161873.0
2024-09-01,Polysilicon,10932578.0,42069124.0
2024-09-01,Rare Earths,168648462.0,104072261.0
2024-10-01,Gallium/Germanium,163254296.0,26672494.0
2024-10-01,Graphite,37599295.0,32632365.0
2024-10-01,Polysilicon,7438238.0,28793461.0
2024-10-01,Rare Earths,158660509.0,115357764.0
2024-11-01,Gallium/Germanium,151567300.0,116192386.0
2024-11-01,Graphite,50623733.0,36096974.0
2024-11-01,Polysilicon,8033958.0,33196340.0
2024-11-01,Rare Earths,162331276.0,109225399.0
2024-12-01,Gallium/Germanium,198337254.0,107650072.0
2024-12-01,Graphite,44006884.0,43664147.0
2024-12-01,Polysilicon,8847606.0,50670577.0
2024-12-01,Rare Earths,194110958.0,101196271.0
